phuong_phap,nhom,symbol,khung,doan,nguong,n_lenh,ev_r,win_pct,pf,sharpe,maxdd_r,ci_lo,ci_hi,song_sot,ghi_chu
sd_zone,Supply/Demand,audjpy,M15,IS,0.1,22422,-0.13738,41.42,0.782,-0.1187,3098.48,-0.15243,-0.12235,False,nan
sd_zone,Supply/Demand,audjpy,M15,OOS,0.1,9263,-0.20039,40.85,0.702,-0.1718,1865.96,-0.22353,-0.17762,False,nan
sd_zone,Supply/Demand,audjpy,M15,VALID,0.1,5954,-0.12571,42.07,0.798,-0.1087,752.68,-0.15473,-0.09579,False,nan
ctrl_rsi_diverg,Đối chứng,audjpy,M15,IS,0.1,15166,-0.09574,43.28,0.844,-0.082,1456.33,-0.11502,-0.0775,False,nan
ctrl_rsi_diverg,Đối chứng,audjpy,M15,OOS,0.1,6753,-0.18944,41.76,0.719,-0.1613,1288.26,-0.21604,-0.16245,False,nan
ctrl_rsi_diverg,Đối chứng,audjpy,M15,VALID,0.1,3610,-0.12221,42.41,0.804,-0.1054,447.18,-0.16148,-0.08543,False,nan
ctrl_channel_break,Đối chứng,audjpy,M15,IS,0.1,18706,-0.20469,38.26,0.699,-0.1753,3844.98,-0.22149,-0.18868,False,nan
ctrl_channel_break,Đối chứng,audjpy,M15,OOS,0.1,8293,-0.21842,39.96,0.689,-0.1835,1815.56,-0.2437,-0.19282,False,nan
ctrl_channel_break,Đối chứng,audjpy,M15,VALID,0.1,5008,-0.18404,39.7,0.724,-0.1575,928.22,-0.21679,-0.15176,False,nan
ctrl_meanrev_z,Đối chứng,audjpy,M15,IS,0.7,32583,-0.10318,42.86,0.835,-0.0877,3370.05,-0.11593,-0.09033,False,nan
ctrl_meanrev_z,Đối chứng,audjpy,M15,OOS,0.7,14223,-0.18664,41.76,0.724,-0.158,2665.07,-0.20572,-0.16771,False,nan
ctrl_meanrev_z,Đối chứng,audjpy,M15,VALID,0.7,8293,-0.13792,41.82,0.785,-0.1178,1155.84,-0.16367,-0.11258,False,nan
pa_pinbar,PriceAction,audjpy,H1,IS,0.2,8880,-0.07471,40.96,0.875,-0.0643,674.93,-0.09942,-0.05078,False,nan
pa_pinbar,PriceAction,audjpy,H1,OOS,0.2,3853,-0.08772,41.24,0.857,-0.0747,349.68,-0.12523,-0.05081,False,nan
pa_pinbar,PriceAction,audjpy,H1,VALID,0.2,2272,-0.09557,40.05,0.844,-0.082,226.57,-0.14583,-0.05073,False,nan
pa_engulfing,PriceAction,audjpy,H1,IS,0.1,5812,-0.08682,40.38,0.857,-0.0747,510.3,-0.11704,-0.05596,False,nan
pa_engulfing,PriceAction,audjpy,H1,OOS,0.1,2597,-0.0754,41.89,0.877,-0.0638,209.02,-0.11941,-0.02835,False,nan
pa_engulfing,PriceAction,audjpy,H1,VALID,0.1,1523,-0.0403,42.55,0.932,-0.0342,95.83,-0.09822,0.0185,False,nan
pa_inside_outside,PriceAction,audjpy,H1,IS,0.1,4700,-0.08392,40.91,0.86,-0.0724,418.46,-0.11616,-0.05026,False,nan
pa_inside_outside,PriceAction,audjpy,H1,OOS,0.1,1878,-0.04031,43.4,0.933,-0.0339,87.11,-0.09527,0.01255,False,nan
pa_inside_outside,PriceAction,audjpy,H1,VALID,0.1,1294,-0.08218,40.73,0.866,-0.07,111.29,-0.14676,-0.0182,False,nan
pa_bos,PriceAction,audjpy,H1,IS,0.1,7655,-0.05618,41.55,0.906,-0.0478,466.22,-0.08178,-0.02959,False,nan
pa_bos,PriceAction,audjpy,H1,OOS,0.1,3357,-0.03176,43.4,0.947,-0.0265,170.74,-0.07181,0.0078,False,nan
pa_bos,PriceAction,audjpy,H1,VALID,0.1,1967,-0.05155,42.3,0.914,-0.0438,112.11,-0.10226,0.00163,False,nan
smc_fvg,SMC/ICT,audjpy,H1,IS,0.1,7416,-0.09411,39.81,0.846,-0.081,737.11,-0.12028,-0.06729,False,nan
