time,open,high,low,close,tickvol
2024-11-26 12:00,92283.75,93572.8,91671.56,92859.02,87388
2024-11-26 16:00,92859.02,94752.68,91506.99,91627.48,78853
2024-11-26 20:00,91622.89,92345.08,90690.54,91917.69,65335
2024-11-27 00:00,91917.69,93079.28,91757.98,92582.73,60064
2024-11-27 04:00,92582.73,93717.67,92327.9,93644.47,54497
2024-11-27 08:00,93644.47,93957.02,93159.96,93423.95,53014
2024-11-27 12:00,93423.95,95968.0,92879.06,95680.82,67643
2024-11-27 16:00,95686.58,96840.04,95325.75,96821.65,63333
2024-11-27 20:00,96821.64,97394.49,95875.46,96013.17,52329
2024-11-28 00:00,96013.17,96736.78,94935.59,95592.58,55012
2024-11-28 04:00,95592.58,96088.47,95203.16,95453.02,54635
2024-11-28 08:00,95453.02,95904.81,94714.55,95570.45,58105
2024-11-28 12:00,95570.45,96349.97,94973.12,95087.55,66227
2024-11-28 16:00,95087.55,95509.28,94870.36,95177.32,46386
2024-11-28 20:00,95177.33,96132.86,94736.54,95728.72,42101
2024-11-29 00:00,95728.71,96993.72,95433.97,96693.45,55125
2024-11-29 04:00,96693.9,96735.56,95680.58,95706.28,45399
2024-11-29 08:00,95706.27,97496.21,95703.98,97360.18,49844
2024-11-29 12:00,97360.31,98800.26,96857.99,98173.81,62076
2024-11-29 16:00,98173.81,98619.4,96951.18,97458.41,58917
2024-11-29 20:00,97458.41,97775.38,97126.59,97553.78,42206
2024-11-30 00:00,97553.78,97563.72,96394.86,96740.89,45612
2024-11-30 04:00,96740.89,97346.15,96642.6,96886.38,44819
2024-11-30 08:00,96886.38,97087.68,96178.81,96357.04,40772
2024-11-30 12:00,96357.04,96850.17,96328.32,96747.22,43016
2024-11-30 16:00,96749.58,97176.1,96618.09,97118.18,39950
2024-11-30 20:00,97118.18,97165.17,96399.44,96494.8,34354
2024-12-01 00:00,96494.79,96762.9,95735.86,96437.6,47462
2024-12-01 04:00,96437.62,96640.44,96279.42,96602.0,40196
2024-12-01 08:00,96601.78,97319.0,96553.56,97221.22,43427
2024-12-01 12:00,97221.23,97538.35,96790.52,97149.66,41741
2024-12-01 16:00,97149.66,97658.82,97059.28,97265.83,33785
2024-12-01 20:00,97265.83,97976.74,96876.63,97321.36,39870
2024-12-02 00:00,97321.36,98301.47,96412.16,96565.55,50044
2024-12-02 04:00,96565.55,97053.35,95802.68,96057.63,53421
2024-12-02 08:00,96057.13,96181.59,94860.68,95187.04,56793
2024-12-02 12:00,95187.04,97358.79,94820.64,97174.0,64563
2024-12-02 16:00,97165.0,97496.95,94427.96,95875.81,67903
2024-12-02 20:00,95875.81,96415.2,95138.92,95901.31,50628
2024-12-03 00:00,95901.31,96388.69,95474.5,96167.49,52083
2024-12-03 04:00,96167.5,96359.98,95325.4,95599.29,46144
2024-12-03 08:00,95599.33,95734.58,94654.37,95037.41,42613
2024-12-03 12:00,95036.53,96385.59,93579.38,95802.29,71575
2024-12-03 16:00,95802.29,96293.33,94951.94,95508.27,61728
2024-12-03 20:00,95508.27,96284.84,95349.85,96001.72,49369
2024-12-04 00:00,96001.72,96783.15,95324.83,95907.7,51119
2024-12-04 04:00,95907.7,96877.97,95838.46,96726.99,41923
2024-12-04 08:00,96726.99,97073.35,96290.25,96321.21,44047
2024-12-04 12:00,96321.21,96681.96,95423.58,95891.65,61231
2024-12-04 16:00,95891.65,97403.56,94691.47,97376.59,64009
2024-12-04 20:00,97376.59,99191.03,97288.25,98692.52,65381
2024-12-05 00:00,98692.51,104323.36,98011.39,102970.45,91246
2024-12-05 04:00,102968.97,103577.97,101354.43,102312.01,65516
2024-12-05 08:00,102312.01,103266.83,102292.43,102625.22,56283
2024-12-05 12:00,102625.22,103668.72,100981.61,101376.26,71055
2024-12-05 16:00,101376.26,102070.45,98572.69,98978.07,72778
2024-12-05 20:00,98978.07,99497.68,90803.0,96990.93,89995
2024-12-06 00:00,96990.93,98798.87,96411.29,97720.39,67668
